,Name,Date,Aux1,Aux2,Aux3,Aux4,Aux5,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated,Machine suggestion 1,Machine confidence 1,Machine suggestion 2,Machine confidence 2,Machine suggestion 3,Machine confidence 3,Machine suggestion 4,Machine confidence 4,Machine suggestion 5,Machine confidence 5
0,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,671,217,Sand,Imported,2023-05-01 22:46:47+00:00,,,,,,,,,,
1,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1252,971,Sand,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
2,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,548,1054,Macro,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
3,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1084,211,CCA,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
4,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,192,1011,Macro,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
5,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1349,1761,CCA,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
6,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,898,776,Sand,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
7,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1113,88,CCA,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
8,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1865,450,Off,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
9,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1262,359,CCA,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
10,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,447,667,Porit,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
11,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1714,1447,CCA,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
12,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,709,290,CCA,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
13,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,664,851,Porit,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
14,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,919,821,Sand,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
15,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1360,1277,Sand,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
16,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1466,92,Macro,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
17,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,454,569,Porit,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
18,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1643,995,CCA,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
19,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,346,762,Porit,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
20,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1655,1589,Porit,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
21,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,589,175,Sand,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
22,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1471,1640,CCA,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
23,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,495,828,Porit,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
24,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1520,381,Sand,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
25,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,881,1129,Sand,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
26,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1534,1578,CCA,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
27,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1267,593,Sand,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
28,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1700,618,Sand,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
29,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1139,765,Sand,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
30,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1405,248,CCA,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
31,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1729,1513,CCA,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
32,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1123,1543,Porit,Imported,2023-05-01 22:46:48+00:00,,,,,,,,,,
