,image_name,image_page,image_url
0,mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,https://coralnet.ucsd.edu/image/3370043/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/7xv6hj6gw8.jpg?Signature=nWCSI%2F6wdmXmzYMl3cA3%2FvVGack%3D&Expires=1683140831&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
1,mcr_lter1_fringingreef_pole1-2_qu2_20080415.jpg,https://coralnet.ucsd.edu/image/3370044/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/ra3c1v1fo7.jpg?Signature=bgEXIVgnaX086HwJDObgWR2BJ9A%3D&Expires=1683140831&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
2,mcr_lter1_fringingreef_pole1-2_qu3_20080415.jpg,https://coralnet.ucsd.edu/image/3370045/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/dcga0jjbrb.jpg?Signature=8Ewrttp7WWwtorHnmi1DpClLVPc%3D&Expires=1683140832&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
3,mcr_lter1_fringingreef_pole1-2_qu4_20080415.jpg,https://coralnet.ucsd.edu/image/3370046/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/pk5cdzszic.jpg?Signature=78wBwf4J7XuWc%2BQk6ycK9zVS31I%3D&Expires=1683140832&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
4,mcr_lter1_fringingreef_pole1-2_qu5_20080415.jpg,https://coralnet.ucsd.edu/image/3370047/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/fwaaetzo4g.jpg?Signature=rz278qDFBW7o021gahS%2BvG7C2Vk%3D&Expires=1683140832&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
5,mcr_lter1_fringingreef_pole1-2_qu6_20080415.jpg,https://coralnet.ucsd.edu/image/3370048/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/qkd7oz8x48.jpg?Signature=Dnp68MMTzVhZvPG3c05D1%2Fi5S7k%3D&Expires=1683140832&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
6,mcr_lter1_fringingreef_pole1-2_qu7_20080415.jpg,https://coralnet.ucsd.edu/image/3370049/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/v9i1vwg15v.jpg?Signature=VM6023QLpSuOVgLQH%2Bmcold5l9Q%3D&Expires=1683140833&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
7,mcr_lter1_fringingreef_pole1-2_qu8_20080415.jpg,https://coralnet.ucsd.edu/image/3370050/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/bw3m97dl6l.jpg?Signature=DgQ%2BkxuJviNUWcgD%2BPLWL5XQMDM%3D&Expires=1683140833&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
8,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,https://coralnet.ucsd.edu/image/3370051/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/z6jaxn2xoe.jpg?Signature=2PHUt%2FMRhCQ2sETqOkEvuo6vM9M%3D&Expires=1683140833&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
9,mcr_lter1_fringingreef_pole2-3_qu2_20080415.jpg,https://coralnet.ucsd.edu/image/3370052/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/d9y0k8k68h.jpg?Signature=ImL1j2JGRCZFSYVIExSwluCc95E%3D&Expires=1683140833&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
10,mcr_lter1_fringingreef_pole2-3_qu3_20080415.jpg,https://coralnet.ucsd.edu/image/3370053/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/rruknb9yw4.jpg?Signature=XR%2FQ5kYOMg5XktxhDDz6P2Q0m7E%3D&Expires=1683140833&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
11,mcr_lter1_fringingreef_pole2-3_qu4_20080415.jpg,https://coralnet.ucsd.edu/image/3370054/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/0b6sz62v5v.jpg?Signature=CltGclMStkj%2BQPn%2Bk4X1JWjBQD0%3D&Expires=1683140834&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
12,mcr_lter1_fringingreef_pole2-3_qu5_20080415.jpg,https://coralnet.ucsd.edu/image/3370055/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/wope3k9tqy.jpg?Signature=uzjLnXVS7f5KbT3GU5YqWIAGAmk%3D&Expires=1683140834&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
13,mcr_lter1_fringingreef_pole2-3_qu6_20080415.jpg,https://coralnet.ucsd.edu/image/3370056/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/730ys96gib.jpg?Signature=CuYaZFoBVGF%2BeGGJc6dc1QDRVlg%3D&Expires=1683140834&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
14,mcr_lter1_fringingreef_pole2-3_qu7_20080415.jpg,https://coralnet.ucsd.edu/image/3370057/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/fzp0matzim.jpg?Signature=pmt0sHRwEcr9THbS4RXiE%2BNs5ZA%3D&Expires=1683140834&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
15,mcr_lter1_fringingreef_pole2-3_qu8_20080415.jpg,https://coralnet.ucsd.edu/image/3370058/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/p33cpejoru.jpg?Signature=QwzfEPO3ntF9qDLQKnY%2B2ZKvz%2BM%3D&Expires=1683140835&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
16,mcr_lter1_fringingreef_pole3-4_qu1_20080415.jpg,https://coralnet.ucsd.edu/image/3370059/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/4etcon6r9p.jpg?Signature=tmDoWD45gUY0dSCYCWwSVFWKXaY%3D&Expires=1683140835&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
17,mcr_lter1_fringingreef_pole3-4_qu2_20080415.jpg,https://coralnet.ucsd.edu/image/3370060/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/wqqggmxwj3.jpg?Signature=I4FGJMnQ2Uj0UotFEIq%2ByvwYetQ%3D&Expires=1683140835&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
18,mcr_lter1_fringingreef_pole3-4_qu3_20080415.jpg,https://coralnet.ucsd.edu/image/3370061/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/801tdwc3wh.jpg?Signature=2qYBtctmg4YolJ1kOn9ZSTH0MQE%3D&Expires=1683140835&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
19,mcr_lter1_fringingreef_pole3-4_qu4_20080415.jpg,https://coralnet.ucsd.edu/image/3370062/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/u9y0lue8w8.jpg?Signature=Xi0P2nOclG%2BBVK5RUe4kTZLgDSw%3D&Expires=1683140836&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
20,mcr_lter1_fringingreef_pole4-5_qu2_20080415.jpg,https://coralnet.ucsd.edu/image/3370472/view/,https://coralnet-production.s3.amazonaws.com:443/media/images/m1lyashwj9.jpg?Signature=2mmW4rgvZs2egJ%2FIdeRHQpuYUxc%3D&Expires=1683140836&AWSAccessKeyId=AKIAYVKEQ3B4DIOYONO3
