,Name,Date,Aux1,Aux2,Aux3,Aux4,Aux5,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated,Machine suggestion 1,Machine confidence 1,Machine suggestion 2,Machine confidence 2,Machine suggestion 3,Machine confidence 3,Machine suggestion 4,Machine confidence 4,Machine suggestion 5,Machine confidence 5
1600,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,327,1768,CCA,Imported,2023-05-01 22:47:06+00:00,,,,,,,,,,
1601,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1609,669,CCA,Imported,2023-05-01 22:47:06+00:00,,,,,,,,,,
1602,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,231,136,CCA,Imported,2023-05-01 22:47:06+00:00,,,,,,,,,,
1603,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,681,1679,CCA,Imported,2023-05-01 22:47:06+00:00,,,,,,,,,,
1604,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,779,998,Macro,Imported,2023-05-01 22:47:06+00:00,,,,,,,,,,
1605,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,797,1430,Porit,Imported,2023-05-01 22:47:06+00:00,,,,,,,,,,
1606,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1774,1574,Macro,Imported,2023-05-01 22:47:06+00:00,,,,,,,,,,
1607,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,481,1122,CCA,Imported,2023-05-01 22:47:06+00:00,,,,,,,,,,
1608,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1423,1602,CCA,Imported,2023-05-01 22:47:06+00:00,,,,,,,,,,
1609,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1526,1370,Porit,Imported,2023-05-01 22:47:06+00:00,,,,,,,,,,
1610,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1325,153,Porit,Imported,2023-05-01 22:47:06+00:00,,,,,,,,,,
1611,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1277,1007,Porit,Imported,2023-05-01 22:47:07+00:00,,,,,,,,,,
1612,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1499,397,Porit,Imported,2023-05-01 22:47:07+00:00,,,,,,,,,,
1613,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,664,1126,Macro,Imported,2023-05-01 22:47:07+00:00,,,,,,,,,,
1614,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,517,1778,CCA,Imported,2023-05-01 22:47:07+00:00,,,,,,,,,,
1615,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,159,781,CCA,Imported,2023-05-01 22:47:07+00:00,,,,,,,,,,
1616,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1372,1458,Porit,Imported,2023-05-01 22:47:07+00:00,,,,,,,,,,
1617,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,315,300,Sand,Imported,2023-05-01 22:47:07+00:00,,,,,,,,,,
1618,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,751,226,CCA,Imported,2023-05-01 22:47:07+00:00,,,,,,,,,,
1619,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1562,1815,CCA,Imported,2023-05-01 22:47:07+00:00,,,,,,,,,,
1620,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,903,926,Porit,Imported,2023-05-01 22:47:07+00:00,,,,,,,,,,
1621,mcr_lter1_fringingreef_pole2-3_qu1_20080415.jpg,,,,,,,,,,,,,,,,,,1365,906,Porit,Imported,2023-05-01 22:47:07+00:00,,,,,,,,,,
