Name,Row,Column,Label,Long Label,Patch Size
T_S04856.jpg,895,1245,Coral,Coral,112
T_S04856.jpg,742,1297,Coral,Coral,112
T_S04856.jpg,668,1295,Coral,Coral,112
T_S04856.jpg,479,1258,Coral,Coral,112
T_S04856.jpg,417,1238,Coral,Coral,112
T_S04856.jpg,394,1199,Coral,Coral,112
T_S04856.jpg,383,1128,Coral,Coral,112
T_S04856.jpg,366,998,Coral,Coral,112
T_S04856.jpg,383,943,Coral,Coral,112
T_S04856.jpg,353,828,Coral,Coral,112
T_S04856.jpg,456,753,Coral,Coral,112
T_S04856.jpg,559,652,Coral,Coral,112
T_S04856.jpg,586,627,Coral,Coral,112
T_S04856.jpg,705,575,Coral,Coral,112
T_S04856.jpg,831,549,Coral,Coral,112
T_S04856.jpg,867,641,Coral,Coral,112
T_S04856.jpg,927,703,Coral,Coral,112
T_S04856.jpg,988,780,Coral,Coral,112
T_S04856.jpg,1032,904,Coral,Coral,112
T_S04856.jpg,1103,968,Coral,Coral,112
T_S04856.jpg,1059,1103,Coral,Coral,112
T_S04856.jpg,1117,1165,Coral,Coral,112
T_S04856.jpg,1130,1187,Coral,Coral,112
T_S04856.jpg,1091,1208,Coral,Coral,112
T_S04856.jpg,849,1149,Coral,Coral,112
T_S04856.jpg,801,988,Coral,Coral,112
T_S04856.jpg,675,783,Coral,Coral,112
T_S04856.jpg,625,890,Coral,Coral,112
T_S04856.jpg,522,1027,Coral,Coral,112
T_S04856.jpg,572,1158,Coral,Coral,112
T_S04856.jpg,1446,1114,Coral,Coral,112
T_S04856.jpg,1485,1789,Coral,Coral,112
T_S04856.jpg,1492,689,Coral,Coral,112
T_S04856.jpg,1526,668,Coral,Coral,112
T_S04856.jpg,1201,561,Coral,Coral,112
T_S04856.jpg,1103,282,Coral,Coral,112
T_S04856.jpg,1123,257,Coral,Coral,112
T_S04856.jpg,1155,298,Coral,Coral,112
T_S04856.jpg,1546,62,Coral,Coral,112
T_S04856.jpg,865,1700,Coral,Coral,112
T_S04856.jpg,966,1798,Coral,Coral,112
T_S04856.jpg,767,2020,Coral,Coral,112
T_S04856.jpg,723,2098,Coral,Coral,112
T_S04856.jpg,790,1935,Coral,Coral,112
T_S04856.jpg,682,1896,Coral,Coral,112
T_S04856.jpg,661,1883,Coral,Coral,112
T_S04856.jpg,652,1871,Coral,Coral,112
T_S04856.jpg,643,1835,Coral,Coral,112
T_S04856.jpg,650,1816,Coral,Coral,112
T_S04856.jpg,659,1775,Coral,Coral,112
T_S04856.jpg,556,1510,Coral,Coral,112
T_S04856.jpg,536,1505,Coral,Coral,112
T_S04856.jpg,387,1819,Coral,Coral,112
T_S04856.jpg,495,1759,Coral,Coral,112
T_S04856.jpg,401,1983,Coral,Coral,112
T_S04856.jpg,248,1608,Coral,Coral,112
T_S04856.jpg,527,291,Coral,Coral,112
T_S04856.jpg,600,92,Coral,Coral,112
T_S04856.jpg,376,165,Coral,Coral,112
T_S04856.jpg,337,78,Coral,Coral,112
T_S04856.jpg,284,568,Coral,Coral,112
T_S04856.jpg,394,543,Coral,Coral,112
T_S04856.jpg,570,433,Coral,Coral,112
T_S04856.jpg,995,270,Coral,Coral,112
T_S04856.jpg,1030,236,Coral,Coral,112
T_S04856.jpg,922,81,Coral,Coral,112
T_S04856.jpg,988,387,Coral,Coral,112
T_S04856.jpg,1325,348,Coral,Coral,112
T_S04856.jpg,1421,931,Coral,Coral,112
T_S04856.jpg,1448,897,Coral,Coral,112
T_S04856.jpg,1533,883,Coral,Coral,112
T_S04856.jpg,1478,824,Coral,Coral,112
T_S04856.jpg,1398,1219,Coral,Coral,112
T_S04856.jpg,1425,1231,Coral,Coral,112
T_S04856.jpg,1258,1681,Coral,Coral,112
T_S04856.jpg,922,366,SclBar,SclBar,112
T_S04857.jpg,932,1070,Coral,Coral,112
T_S04857.jpg,878,1184,Coral,Coral,112
T_S04857.jpg,777,1250,Coral,Coral,112
T_S04857.jpg,674,1291,Coral,Coral,112
T_S04857.jpg,603,1264,Coral,Coral,112
T_S04857.jpg,471,1241,Coral,Coral,112
T_S04857.jpg,374,1202,Coral,Coral,112
T_S04857.jpg,304,1189,Coral,Coral,112
T_S04857.jpg,299,1175,Coral,Coral,112
T_S04857.jpg,411,1088,Coral,Coral,112
T_S04857.jpg,640,1024,Coral,Coral,112
T_S04857.jpg,697,1015,Coral,Coral,112
T_S04857.jpg,786,919,Coral,Coral,112
T_S04857.jpg,731,754,Coral,Coral,112
T_S04857.jpg,656,683,Coral,Coral,112
T_S04857.jpg,599,624,Coral,Coral,112
T_S04857.jpg,612,592,Coral,Coral,112
T_S04857.jpg,681,605,Coral,Coral,112
T_S04857.jpg,766,688,Coral,Coral,112
T_S04857.jpg,830,775,Coral,Coral,112
T_S04857.jpg,894,866,Coral,Coral,112
T_S04857.jpg,926,953,Coral,Coral,112
T_S04857.jpg,875,964,Coral,Coral,112
T_S04857.jpg,692,811,Coral,Coral,112
T_S04857.jpg,551,843,Coral,Coral,112
T_S04857.jpg,457,926,Coral,Coral,112
T_S04857.jpg,393,1060,Coral,Coral,112
T_S04857.jpg,329,1120,Coral,Coral,112
T_S04857.jpg,272,1122,Coral,Coral,112
T_S04857.jpg,281,1115,Coral,Coral,112
T_S04857.jpg,450,1033,Coral,Coral,112
T_S04857.jpg,562,834,Coral,Coral,112
T_S04857.jpg,466,770,Coral,Coral,112
T_S04857.jpg,372,749,Coral,Coral,112
T_S04857.jpg,294,770,Coral,Coral,112
T_S04857.jpg,317,747,Coral,Coral,112
T_S04857.jpg,333,729,Coral,Coral,112
T_S04857.jpg,404,667,Coral,Coral,112
T_S04857.jpg,475,647,Coral,Coral,112
T_S04857.jpg,1296,692,Coral,Coral,112
T_S04857.jpg,1257,420,Coral,Coral,112
T_S04857.jpg,1221,242,Coral,Coral,112
T_S04857.jpg,1367,1568,Coral,Coral,112
T_S04857.jpg,1269,1808,Coral,Coral,112
T_S04857.jpg,1072,1964,Coral,Coral,112
T_S04857.jpg,942,1888,Coral,Coral,112
T_S04857.jpg,610,1811,Coral,Coral,112
T_S04857.jpg,596,354,Coral,Coral,112
T_S04857.jpg,537,139,Coral,Coral,112
